Year,CC_count_pos,CO_count_pos,OC_count_pos,CC_count_neg,CO_count_neg,OC_count_neg,CC_avg_pos,CO_avg_pos,OC_avg_pos,CC_avg_neg,CO_avg_neg,OC_avg_neg,CC_max_return,CO_max_return,OC_max_return,CC_min_return,CO_min_return,OC_min_return,CC_median_return,CO_median_return,OC_median_return,CC_average_return,CO_average_return,OC_average_return,CC_stddev_return,CO_stddev_return,OC_stddev_return
2000,122,138,112,130,110,139,0.011611706531828686,0.005266386801941283,0.01005942100236254,-0.011546430311055797,-0.004530432870171469,-0.010383414734436174,0.0580762250453721,0.0254851531447276,0.0411465557096625,-0.0571923743500866,-0.0245316681534344,-0.0464504820333041,-0.0006549118811439,0.0006423257905012,-0.00128535270347885,-0.0003349513633101354,0.0009064038212263313,-0.0012565059358016822,0.01509257283483423,0.006769055645919525,0.013178870625323047
2001,124,116,125,124,129,121,0.01016012155982425,0.004926275980662386,0.009717445301067313,-0.011077318268219774,-0.005604456986591957,-0.00967767272652414,0.0480349344978165,0.0250822622535387,0.0521188504627374,-0.0522489762884941,-0.0822353730194945,-0.0348209468232307,4.902728372499997e-06,-0.00025407727045675,0.000647796730852,-0.0004585983541977618,-0.0006109957157803451,0.0001761381561451338,0.01393655468440818,0.008745192592764857,0.012528074334444361
2002,119,120,122,133,130,130,0.012635544934617654,0.005588977572179793,0.011345715372675086,-0.012990259152865705,-0.00601306016375457,-0.011517571770973152,0.059662344647104,0.0278861005192369,0.0843466555606062,-0.0381346703699183,-0.0241902487639379,-0.0404166380564371,-0.0014279931443066502,-0.0004020540690167,-0.0005849328113814,-0.0008891850004430083,-0.0004405575897877738,-0.0004488375188894816,0.016654328296135182,0.0076254308755104635,0.014832735460981154
2003,142,142,134,108,107,117,0.008051999531205608,0.0034467623599996793,0.007881967846102943,-0.008310940956624858,-0.004077051747667951,-0.007392119607781595,0.0345423530235593,0.0240307763302318,0.0397795318864542,-0.0332329183493961,-0.0184008203364761,-0.0271920795651166,0.00159686196729865,0.0004701849619778,0.0009063222948679499,0.0009754059925226649,0.0002110941195217608,0.0007591495923307442,0.010412058110081742,0.004999033261521868,0.009814737760682129
2004,140,131,141,109,120,108,0.005276105929274137,0.002663791088978101,0.0045894481988655225,-0.00596047291979982,-0.0025200931505079977,-0.00558140672251227,0.0169112325834122,0.0130338677918349,0.0177433750788712,-0.018452145914153,-0.0111745592368407,-0.0200321755489435,0.00074540403455385,0.0002610281370364,0.0009879131835181,0.0003530288961912644,0.00018470418490147423,0.00017587408733616485,0.007072362918472572,0.0033002891536686395,0.006468470404897012
2005,136,147,121,113,105,130,0.004902080008771944,0.002087544775894537,0.004553480942170101,-0.0055900839172601784,-0.0016694072722586713,-0.004982407854080166,0.0194200265835451,0.008699453754138,0.0194042449301861,-0.0176156339276591,-0.0099598460660504,-0.015231397835484,0.0008237084183868001,0.0004145542077191,-0.0002458757795448,0.0001389023751689847,0.0005221480891640335,-0.00038389613899936307,0.006516430765377237,0.0023953391728283526,0.00607995210159674
2006,138,128,142,113,115,105,0.004797790351056408,0.0022949530893928323,0.004047062380669476,-0.004674888477187712,-0.0018740008769503593,-0.0049537463388348545,0.0212145971383159,0.0089686050206469,0.0175071065088123,-0.0190240440098837,-0.0065810483109681,-0.0180074647690639,0.00061266526216,0.0001509984383006,0.0008653909852758,0.0005331978905321623,0.00031172866371709647,0.00021728881465101936,0.006349802786236723,0.0026072173611265534,0.005768443268551562
2007,137,139,126,113,108,123,0.0067343063760713,0.0036737513320926002,0.005435158815145476,-0.0077714007206457275,-0.0035717856223616315,-0.006253264427211804,0.0319842696523389,0.0239267681241869,0.0243902764103512,-0.0390576444200729,-0.0160182148164133,-0.0304420679327883,0.0004196807203138,0.0006458105247306,0.0004638922532117,0.00017701869358087893,0.0004976039360391048,-0.0003359422862100474,0.009996807280465541,0.0049046623017968,0.007929003426546826
2008,126,130,115,127,122,136,0.015467964049446845,0.00835933945503125,0.0147856857013776,-0.018476091073618615,-0.010114595407674168,-0.01437050347188135,0.1451977228714247,0.0606779971365201,0.0796846224425131,-0.098447691349764,-0.0832152326278799,-0.0899057433736957,-0.0002219337109066,0.0002390721907421,-0.001372170229904,-0.0015711466249773206,-0.0005820810694948079,-0.0010040893933495644,0.025985100993960526,0.014096967361431184,0.021012119493466153
2009,139,140,139,113,112,110,0.01180809479874066,0.00663093042617959,0.009102668731943896,-0.012342943421313247,-0.007697572217350725,-0.009838394941107945,0.0718289949418833,0.0264632877528971,0.0441961322243677,-0.0527862449170256,-0.0314161238159619,-0.0462500993030025,0.0014727829793339,0.0014932518831334502,0.0013084561750517,0.0009784625810180746,0.00026270702905500503,0.0007263790088028846,0.01682090200067243,0.009273295622196635,0.013017459377429277
