Strategy,Max Return,Min Return,Median Return,Average Return,Stddev Return
CO,0.069078947368421,-0.0945721263790148,0.0006382172955832,0.0004142740581098992,0.008970075077108152
CC,0.168421052631579,-0.1197878430113809,0.0010146017640573,0.0004149310752990401,0.01709962640792213
OC,0.1964071856287425,-0.0953442506491207,0.0006273669476216,-6.104673163529513e-06,0.01465650849484421
