date,target,combined_feature,return_label_x,return_label_y,return_x,return_y
1999-07-19,cash,+++++--+++,-,+,-0.0092307692307692,1e-06
1999-07-20,cash,++++--+++-,-,+,-0.0152765388046387,1e-06
1999-07-21,cash,+++--+++--,-,+,-0.0019235121068114,1e-06
1999-07-22,cash,++--+++---,-,+,-0.0103456116416552,1e-06
1999-07-23,cash,+--+++----,-,+,-0.0066316030185227,1e-06
1999-07-26,cash,--+++-----,-,+,-0.0009267840593141,1e-06
1999-07-27,cash,-+++------,-,+,-0.0009191176470588,1e-06
1999-07-28,spy,+++-------,+,+,0.0004587155963302,1e-06
1999-07-29,cash,++-------+,-,+,-0.0039370078740157,1e-06
1999-07-30,cash,+-------+-,-,+,-0.015299026425591,1e-06
1999-08-02,spy,-------+--,+,+,0.0023540489642184,1e-06
1999-08-03,cash,------+--+,-,+,-0.0095816779621406,1e-06
1999-08-04,cash,-----+--+-,-,+,-0.0157758417706616,1e-06
1999-08-05,spy,----+--+--,+,+,0.0071633237822349,1e-06
1999-08-06,cash,---+--+--+,-,+,-0.0064301024053346,1e-06
1999-08-09,cash,--+--+--+-,-,+,-0.00382866714525,1e-06
1999-08-10,cash,-+--+--+--,-,+,-0.0093840230991337,1e-06
1999-08-11,spy,+--+--+---,+,+,0.0040963855421686,1e-06
1999-08-12,cash,--+--+---+,-,+,-0.0041846006695361,1e-06
1999-08-13,spy,-+--+---+-,+,+,0.0116334283000949,1e-06
1999-08-16,spy,+--+---+-+,+,+,0.0046948356807511,1e-06
1999-08-17,spy,--+---+-++,+,+,0.00139470013947,1e-06
1999-08-18,cash,-+---+-+++,-,+,-0.0040749796251018,1e-06
1999-08-19,spy,+---+-+++-,+,+,0.0014164305949008,1e-06
1999-08-20,spy,---+-+++-+,+,+,0.0063410051667449,1e-06
1999-08-23,spy,--+-+++-++,+,+,0.012285581826611,1e-06
1999-08-24,spy,-+-+++-+++,+,+,0.0066605420303169,1e-06
1999-08-25,spy,+-+++-++++,+,+,0.0086560364464692,1e-06
1999-08-26,cash,-+++-+++++,-,+,-0.0112994350282485,1e-06
1999-08-27,cash,+++-+++++-,-,+,-0.01324200913242,1e-06
1999-08-30,cash,++-+++++--,-,+,-0.0205495266682059,1e-06
1999-08-31,cash,+-+++++---,-,+,-0.006582040432534,1e-06
1999-09-01,spy,-+++++----,+,+,0.005641748942172,1e-06
1999-09-02,cash,+++++----+,-,+,-0.0001182592242194,1e-06
1999-09-03,spy,++++----+-,+,+,0.008109360518999,1e-06
1999-09-07,cash,+++----+-+,-,+,-0.0043638033991731,1e-06
1999-09-08,cash,++----+-+-,-,+,-0.0002317497103128,1e-06
1999-09-09,cash,+----+-+--,-,+,0.0,1e-06
1999-09-10,cash,----+-+---,-,+,-0.0027522935779816,1e-06
1999-09-13,cash,---+-+----,-,+,-0.0012719703977798,1e-06
1999-09-14,cash,--+-+-----,-,+,0.0,1e-06
1999-09-15,cash,-+-+------,-,+,-0.025842178126442,1e-06
1999-09-16,cash,+-+-------,-,+,-0.0003537735849056,1e-06
1999-09-17,spy,-+--------,+,+,0.0084825636192271,1e-06
1999-09-20,cash,+--------+,-,+,-0.0027998133457769,1e-06
1999-09-21,cash,--------+-,-,+,-0.0113421550094517,1e-06
1999-09-22,cash,-------+--,-,+,-0.0048809523809523,1e-06
1999-09-23,cash,------+---,-,+,-0.0298719772403982,1e-06
1999-09-24,cash,-----+----,-,+,0.0,1e-06
1999-09-27,cash,----+-----,-,+,-0.0012135922330097,1e-06
1999-09-28,spy,---+------,+,+,0.0031753786028334,1e-06
1999-09-29,cash,--+------+,-,+,-0.0126520681265206,1e-06
1999-09-30,spy,-+------+-,+,+,0.0102991662579695,1e-06
1999-10-01,spy,+------+-+,+,+,0.004152418172936,1e-06
1999-10-04,spy,------+-++,+,+,0.0120948234155781,1e-06
1999-10-05,cash,-----+-+++,-,+,-0.0007171886206072,1e-06
1999-10-06,spy,----+-+++-,+,+,0.01434034416826,1e-06
1999-10-07,cash,---+-+++-+,-,+,-0.0074091497118664,1e-06
1999-10-08,spy,--+-+++-+-,+,+,0.0161290322580645,1e-06
1999-10-11,spy,-+-+++-+-+,+,+,0.0004678362573099,1e-06
1999-10-12,cash,+-+++-+-++,-,+,-0.0115023474178403,1e-06
1999-10-13,cash,-+++-+-++-,-,+,-0.0191296030607364,1e-06
1999-10-14,cash,+++-+-++--,-,+,-0.0025538124771981,1e-06
1999-10-15,cash,++-+-++---,-,+,-0.0089285714285714,1e-06
1999-10-18,spy,+-+-++----,+,+,0.0067533766883441,1e-06
1999-10-19,cash,-+-++----+,-,+,-0.0014742014742014,1e-06
1999-10-20,spy,+-++----+-,+,+,0.0039138943248532,1e-06
1999-10-21,spy,-++----+-+,+,+,0.0140014738393515,1e-06
1999-10-22,spy,++----+-++,+,+,0.0026493256262042,1e-06
1999-10-25,spy,+----+-+++,+,+,0.000966650555824,1e-06
1999-10-26,cash,----+-++++,-,+,-0.0182429188670187,1e-06
1999-10-27,spy,---+-++++-,+,+,0.0136319376825705,1e-06
1999-10-28,spy,--+-++++-+,+,+,0.0160453043888626,1e-06
1999-10-29,spy,-+-++++-++,+,+,0.0085116172072693,1e-06
1999-11-01,cash,+-++++-+++,-,+,-0.0068681318681318,1e-06
1999-11-02,cash,-++++-+++-,-,+,-0.010112617789014,1e-06
1999-11-03,cash,++++-+++--,-,+,-0.0036764705882352,1e-06
1999-11-04,cash,+++-+++---,-,+,-0.001599634369287,1e-06
1999-11-05,cash,++-+++----,-,+,-0.0054102795311091,1e-06
1999-11-08,spy,+-+++-----,+,+,0.0072992700729927,1e-06
1999-11-09,cash,-+++-----+,-,+,-0.0129738267148014,1e-06
1999-11-10,spy,+++-----+-,+,+,0.0107798165137614,1e-06
1999-11-11,spy,++-----+-+,+,+,0.0022614201718679,1e-06
1999-11-12,spy,+-----+-++,+,+,0.0035906642728904,1e-06
1999-11-15,spy,-----+-+++,+,+,0.0016759776536312,1e-06
1999-11-16,spy,----+-++++,+,+,0.0048910626945309,1e-06
1999-11-17,cash,---+-+++++,-,+,-0.0043936731107205,1e-06
1999-11-18,spy,--+-+++++-,+,+,0.0013163668275559,1e-06
1999-11-19,spy,-+-+++++-+,+,+,0.0006583278472679,1e-06
1999-11-22,spy,+-+++++-++,+,+,0.0002193944712593,1e-06
1999-11-23,cash,-+++++-+++,-,+,-0.0113760665062349,1e-06
1999-11-24,spy,+++++-+++-,+,+,0.0086589698046181,1e-06
1999-11-26,cash,++++-+++-+,-,+,-0.0072384294801491,1e-06
1999-11-29,spy,+++-+++-+-,+,+,0.0004436557231588,1e-06
1999-11-30,cash,++-+++-+-+,-,+,-0.0104351687388987,1e-06
1999-12-01,spy,+-+++-+-+-,+,+,0.0078510542844324,1e-06
1999-12-02,spy,-+++-+-+-+,+,+,0.0044444444444444,1e-06
1999-12-03,spy,+++-+-+-++,+,+,0.0056805767970286,1e-06
1999-12-06,cash,++-+-+-+++,-,+,-0.0052253429131286,1e-06
1999-12-07,cash,+-+-+-+++-,-,+,-0.0115594329334787,1e-06
1999-12-08,cash,-+-+-+++--,-,+,-0.00442184390891,1e-06
1999-12-09,cash,+-+-+++---,-,+,-0.002864698104892,1e-06
1999-12-10,cash,-+-+++----,-,+,-0.0028552602679551,1e-06
1999-12-13,spy,+-+++-----,+,+,0.0048608042421564,1e-06
1999-12-14,cash,-+++-----+,-,+,-0.0061782877316857,1e-06
1999-12-15,spy,+++-----+-,+,+,0.0080142475512021,1e-06
1999-12-16,cash,++-----+-+,-,+,-0.0004395604395604,1e-06
1999-12-17,cash,+-----+-+-,-,+,-0.0021853146853146,1e-06
1999-12-20,cash,-----+-+--,-,+,-0.0063568610258658,1e-06
1999-12-21,spy,----+-+---,+,+,0.0156698300595894,1e-06
1999-12-22,spy,---+-+---+,+,+,0.0039164490861618,1e-06
1999-12-23,spy,--+-+---++,+,+,0.0101282189419243,1e-06
1999-12-27,cash,-+-+---+++,-,+,-0.0014931740614334,1e-06
1999-12-28,spy,+-+---+++-,+,+,0.0021422450728363,1e-06
1999-12-29,spy,-+---+++-+,+,+,0.0034173430158052,1e-06
1999-12-30,cash,+---+++-++,-,+,-0.0032922684791843,1e-06
1999-12-31,spy,---+++-++-,+,+,0.0002128112364332,1e-06
2000-01-03,cash,--+++-++-+,-,+,-0.0189713322091062,1e-06
2000-01-04,cash,-+++-++-+-,-,+,-0.0263444371870237,1e-06
2000-01-05,spy,+++-++-+--,+,+,0.0004466279589102,1e-06
2000-01-06,cash,++-++-+--+,-,+,-0.0134288272157564,1e-06
2000-01-07,spy,+-++-+--+-,+,+,0.0387527839643652,1e-06
2000-01-10,cash,-++-+--+-+,-,+,0.0,1e-06
2000-01-11,cash,++-+--+-+-,-,+,-0.0090012858979854,1e-06
2000-01-12,cash,+-+--+-+--,-,+,-0.010590015128593,1e-06
2000-01-13,spy,-+--+-+---,+,+,0.0036772658446895,1e-06
2000-01-14,spy,+--+-+---+,+,+,0.0029857112390701,1e-06
2000-01-18,spy,--+-+---++,+,+,0.0032251128789507,1e-06
2000-01-19,spy,-+-+---+++,+,+,0.0116129032258064,1e-06
2000-01-20,cash,+-+---++++,-,+,-0.0150967467573889,1e-06
2000-01-21,cash,-+---++++-,-,+,-0.0073024054982817,1e-06
2000-01-24,cash,+---++++--,-,+,-0.0364728599013087,1e-06
2000-01-25,spy,---++++---,+,+,0.0101189814300011,1e-06
2000-01-26,cash,--++++---+,-,+,-0.0013297872340425,1e-06
2000-01-27,cash,-++++---+-,-,+,-0.0112359550561797,1e-06
2000-01-28,cash,++++---+--,-,+,-0.0255490811295383,1e-06
2000-01-31,spy,+++---+---,+,+,0.0276115968706856,1e-06
2000-02-01,spy,++---+---+,+,+,0.0084973166368515,1e-06
2000-02-02,cash,+---+---++,-,+,-0.0015483300154833,1e-06
2000-02-03,spy,---+---++-,+,+,0.0164152617568766,1e-06
2000-02-04,cash,--+---++-+,-,+,-0.0041466608467917,1e-06
2000-02-07,cash,-+---++-+-,-,+,-0.0013152126260412,1e-06
2000-02-08,spy,+---++-+--,+,+,0.0023876709355328,1e-06
2000-02-09,cash,---++-+--+,-,+,-0.0220635950681375,1e-06
2000-02-10,cash,--++-+--+-,-,+,-0.0004413062665489,1e-06
2000-02-11,cash,-++-+--+--,-,+,-0.0222515972681207,1e-06
2000-02-14,cash,++-+--+---,-,+,-0.0020120724346076,1e-06
2000-02-15,spy,+-+--+----,+,+,0.0131283662477558,1e-06
2000-02-16,cash,-+--+----+,-,+,-0.0097951914514692,1e-06
2000-02-17,cash,+--+----+-,-,+,-0.0153538050734312,1e-06
2000-02-18,cash,--+----+--,-,+,-0.0256525652565256,1e-06
2000-02-22,cash,-+----+---,-,+,-0.0016181229773462,1e-06
2000-02-23,spy,+----+----,+,+,0.0069124423963133,1e-06
2000-02-24,cash,----+----+,-,+,-0.0210333790580704,1e-06
2000-02-25,cash,---+----+-,-,+,-0.0137540453074433,1e-06
2000-02-28,spy,--+----+--,+,+,0.0206185567010309,1e-06
2000-02-29,spy,-+----+--+,+,+,0.0101056499770326,1e-06
2000-03-01,spy,+----+--++,+,+,0.0059037238873751,1e-06
